algorithm,comparisons,match,wall_sec,qr_file,qr_idx,text_h,text_w
Bird-KMP,1306,"(30, 30)",0.002473,benign_10017.png,23,41,41
Bird-BM,262,"(30, 30)",0.002603,benign_10017.png,23,41,41
Naive,2322,"(30, 30)",0.001827,benign_10018.png,24,41,41
Rabin-Karp,1166,"(30, 30)",0.002025,benign_10018.png,24,41,41
Vectorized RK,1166,"(30, 30)",0.001138,benign_10018.png,24,41,41
Greedy KMP,3117,"(30, 30)",0.001482,benign_10018.png,24,41,41
Greedy BM,793,"(30, 30)",0.000494,benign_10018.png,24,41,41
Bird-KMP,1329,"(30, 30)",0.002972,benign_10018.png,24,41,41
Bird-BM,260,"(30, 30)",0.0023,benign_10018.png,24,41,41
Naive,2239,"(30, 30)",0.001786,benign_10019.png,25,41,41
Rabin-Karp,1166,"(30, 30)",0.002037,benign_10019.png,25,41,41
Vectorized RK,1166,"(30, 30)",0.001418,benign_10019.png,25,41,41
Greedy KMP,3075,"(30, 30)",0.00197,benign_10019.png,25,41,41
Greedy BM,746,"(30, 30)",0.000476,benign_10019.png,25,41,41
Bird-KMP,1313,"(30, 30)",0.00246,benign_10019.png,25,41,41
Bird-BM,266,"(30, 30)",0.002742,benign_10019.png,25,41,41
Naive,2177,"(30, 30)",0.002128,benign_1002.png,26,41,41
Rabin-Karp,1166,"(30, 30)",0.002144,benign_1002.png,26,41,41
Vectorized RK,1166,"(30, 30)",0.001146,benign_1002.png,26,41,41
Greedy KMP,3073,"(30, 30)",0.001455,benign_1002.png,26,41,41
Greedy BM,664,"(30, 30)",0.000427,benign_1002.png,26,41,41
Bird-KMP,1301,"(30, 30)",0.002467,benign_1002.png,26,41,41
Bird-BM,273,"(30, 30)",0.002198,benign_1002.png,26,41,41
Naive,2238,"(30, 30)",0.002192,benign_10020.png,27,41,41
Rabin-Karp,1166,"(30, 30)",0.002205,benign_10020.png,27,41,41
Vectorized RK,1166,"(30, 30)",0.001431,benign_10020.png,27,41,41
Greedy KMP,3095,"(30, 30)",0.001473,benign_10020.png,27,41,41
Greedy BM,736,"(30, 30)",0.00046,benign_10020.png,27,41,41
Bird-KMP,1311,"(30, 30)",0.002459,benign_10020.png,27,41,41
Bird-BM,270,"(30, 30)",0.002189,benign_10020.png,27,41,41
Naive,2266,"(30, 30)",0.001795,benign_10021.png,28,41,41
Rabin-Karp,1166,"(30, 30)",0.002149,benign_10021.png,28,41,41
Vectorized RK,1166,"(30, 30)",0.001411,benign_10021.png,28,41,41
Greedy KMP,3101,"(30, 30)",0.001698,benign_10021.png,28,41,41
Greedy BM,707,"(30, 30)",0.000455,benign_10021.png,28,41,41
Bird-KMP,1325,"(30, 30)",0.002469,benign_10021.png,28,41,41
Bird-BM,270,"(30, 30)",0.0022,benign_10021.png,28,41,41
Naive,2155,"(30, 30)",0.001728,benign_10022.png,29,41,41
Rabin-Karp,1166,"(30, 30)",0.002029,benign_10022.png,29,41,41
Vectorized RK,1166,"(30, 30)",0.001111,benign_10022.png,29,41,41
Greedy KMP,3039,"(30, 30)",0.001443,benign_10022.png,29,41,41
Greedy BM,664,"(30, 30)",0.000426,benign_10022.png,29,41,41
Bird-KMP,1321,"(30, 30)",0.002938,benign_10022.png,29,41,41
Bird-BM,272,"(30, 30)",0.00221,benign_10022.png,29,41,41
Naive,2245,"(30, 30)",0.001777,benign_10023.png,30,41,41
Rabin-Karp,1166,"(30, 30)",0.002037,benign_10023.png,30,41,41
Vectorized RK,1166,"(30, 30)",0.00112,benign_10023.png,30,41,41
Greedy KMP,3047,"(30, 30)",0.001453,benign_10023.png,30,41,41
Greedy BM,769,"(30, 30)",0.000499,benign_10023.png,30,41,41
Bird-KMP,1305,"(30, 30)",0.002468,benign_10023.png,30,41,41
Bird-BM,261,"(30, 30)",0.002677,benign_10023.png,30,41,41
Naive,2206,"(30, 30)",0.00176,benign_10024.png,31,41,41
Rabin-Karp,1166,"(30, 30)",0.002082,benign_10024.png,31,41,41
Vectorized RK,1166,"(30, 30)",0.001135,benign_10024.png,31,41,41
Greedy KMP,3037,"(30, 30)",0.001447,benign_10024.png,31,41,41
Greedy BM,735,"(30, 30)",0.000461,benign_10024.png,31,41,41
Bird-KMP,1300,"(30, 30)",0.00247,benign_10024.png,31,41,41
Bird-BM,269,"(30, 30)",0.002204,benign_10024.png,31,41,41
Naive,2205,"(30, 30)",0.002087,benign_10025.png,32,41,41
Rabin-Karp,1166,"(30, 30)",0.002097,benign_10025.png,32,41,41
Vectorized RK,1166,"(30, 30)",0.00116,benign_10025.png,32,41,41
Greedy KMP,3068,"(30, 30)",0.00145,benign_10025.png,32,41,41
Greedy BM,688,"(30, 30)",0.000438,benign_10025.png,32,41,41
Bird-KMP,1305,"(30, 30)",0.002483,benign_10025.png,32,41,41
Bird-BM,263,"(30, 30)",0.0022,benign_10025.png,32,41,41
Naive,2189,"(30, 30)",0.00181,benign_10026.png,33,41,41
Rabin-Karp,1166,"(30, 30)",0.002106,benign_10026.png,33,41,41
Vectorized RK,1166,"(30, 30)",0.00171,benign_10026.png,33,41,41
Greedy KMP,3048,"(30, 30)",0.001784,benign_10026.png,33,41,41
Greedy BM,681,"(30, 30)",0.00046,benign_10026.png,33,41,41
Bird-KMP,1312,"(30, 30)",0.002482,benign_10026.png,33,41,41
Bird-BM,267,"(30, 30)",0.002209,benign_10026.png,33,41,41
Naive,2240,"(30, 30)",0.001803,benign_10027.png,34,41,41
Rabin-Karp,1166,"(30, 30)",0.002121,benign_10027.png,34,41,41
Vectorized RK,1166,"(30, 30)",0.001172,benign_10027.png,34,41,41
