algorithm,comparisons,match,wall_sec,pattern_size,text_size,seed
Greedy BM,336990,,0.317752,3,1000,123
Bird-KMP,3995017,,2.907753,3,1000,123
Bird-BM,4326354,,3.015715,3,1000,123
Naive,1003981,,1.141407,3,1000,2024
Rabin-Karp,996004,,2.877026,3,1000,2024
Vectorized RK,996004,,0.622882,3,1000,2024
Greedy KMP,1998991,,1.010693,3,1000,2024
Greedy BM,339979,,0.315677,3,1000,2024
Bird-KMP,3997007,,2.831998,3,1000,2024
Bird-BM,3995011,,2.892059,3,1000,2024
Naive,1000990,,1.12472,3,1000,999
Rabin-Karp,996004,,2.856358,3,1000,999
Vectorized RK,996004,,0.624302,3,1000,999
Greedy KMP,1996001,,0.9868,3,1000,999
Greedy BM,2985517,,2.114885,3,1000,999
Bird-KMP,5988023,,3.660556,3,1000,999
Bird-BM,9961732,,5.233998,3,1000,999
Naive,502,,0.000491,5,25,42
Rabin-Karp,441,,0.001412,5,25,42
Vectorized RK,441,,0.000497,5,25,42
Greedy KMP,1033,,0.000481,5,25,42
Greedy BM,502,,0.000582,5,25,42
Bird-KMP,5213,,0.003177,5,25,42
Bird-BM,5218,,0.002989,5,25,42
Naive,502,,0.000487,5,25,7
Rabin-Karp,441,,0.00191,5,25,7
Vectorized RK,441,,0.000496,5,25,7
Greedy KMP,1035,,0.000486,5,25,7
Greedy BM,224,,0.00017,5,25,7
Bird-KMP,5156,,0.002935,5,25,7
Bird-BM,5225,,0.002949,5,25,7
Naive,524,,0.000698,5,25,123
Rabin-Karp,441,,0.001604,5,25,123
Vectorized RK,441,,0.00048,5,25,123
Greedy KMP,1035,,0.000481,5,25,123
Greedy BM,502,,0.000398,5,25,123
Bird-KMP,4701,,0.002719,5,25,123
Bird-BM,4749,,0.002869,5,25,123
Naive,524,,0.000498,5,25,2024
Rabin-Karp,441,,0.001413,5,25,2024
Vectorized RK,441,,0.000454,5,25,2024
Greedy KMP,1035,,0.000481,5,25,2024
Greedy BM,1231,,0.000738,5,25,2024
Bird-KMP,7587,,0.003753,5,25,2024
Bird-BM,7698,,0.004204,5,25,2024
Naive,522,,0.000499,5,25,999
Rabin-Karp,441,,0.001381,5,25,999
Vectorized RK,441,,0.000466,5,25,999
Greedy KMP,1034,,0.000596,5,25,999
Greedy BM,303,,0.000235,5,25,999
Bird-KMP,4953,,0.002817,5,25,999
Bird-BM,5064,,0.002847,5,25,999
Naive,2252,,0.002224,5,50,42
Rabin-Karp,2116,,0.006366,5,50,42
Vectorized RK,2116,,0.001926,5,50,42
Greedy KMP,4558,,0.002104,5,50,42
Greedy BM,2252,,0.001819,5,50,42
Bird-KMP,22838,,0.013676,5,50,42
Bird-BM,22843,,0.013548,5,50,42
Naive,2252,,0.002375,5,50,7
Rabin-Karp,2116,,0.006081,5,50,7
Vectorized RK,2116,,0.001754,5,50,7
Greedy KMP,4560,,0.002274,5,50,7
Greedy BM,949,,0.000921,5,50,7
Bird-KMP,22706,,0.013053,5,50,7
Bird-BM,23080,,0.01336,5,50,7
Naive,2299,,0.002258,5,50,123
Rabin-Karp,2116,,0.006572,5,50,123
Vectorized RK,2116,,0.001783,5,50,123
Greedy KMP,4560,,0.002112,5,50,123
Greedy BM,2252,,0.001812,5,50,123
Bird-KMP,20551,,0.01239,5,50,123
Bird-BM,20879,,0.012096,5,50,123
Naive,2299,,0.002585,5,50,2024
Rabin-Karp,2116,,0.006018,5,50,2024
Vectorized RK,2116,,0.001755,5,50,2024
Greedy KMP,4560,,0.002107,5,50,2024
Greedy BM,6143,,0.003748,5,50,2024
Bird-KMP,33787,,0.017578,5,50,2024
Bird-BM,34253,,0.01766,5,50,2024
Naive,2297,,0.00233,5,50,999
Rabin-Karp,2116,,0.005998,5,50,999
Vectorized RK,2116,,0.001759,5,50,999
Greedy KMP,4559,,0.002163,5,50,999
Greedy BM,1173,,0.001096,5,50,999
Bird-KMP,21103,,0.01304,5,50,999
Bird-BM,21569,,0.013385,5,50,999
Naive,9502,,0.010669,5,100,42
Rabin-Karp,9216,,0.026757,5,100,42
Vectorized RK,9216,,0.00798,5,100,42
Greedy KMP,19108,,0.008965,5,100,42
Greedy BM,9502,,0.008104,5,100,42
Bird-KMP,95588,,0.057353,5,100,42
Bird-BM,95593,,0.05718,5,100,42
Naive,9502,,0.009874,5,100,7
Rabin-Karp,9216,,0.026155,5,100,7
Vectorized RK,9216,,0.007435,5,100,7
Greedy KMP,19110,,0.009178,5,100,7
Greedy BM,3424,,0.002767,5,100,7
Bird-KMP,95306,,0.0562,5,100,7
Bird-BM,97040,,0.057235,5,100,7
Naive,9599,,0.009805,5,100,123
Rabin-Karp,9216,,0.027098,5,100,123
Vectorized RK,9216,,0.008564,5,100,123
Greedy KMP,19110,,0.009092,5,100,123
Greedy BM,9502,,0.009614,5,100,123
Bird-KMP,86001,,0.054194,5,100,123
Bird-BM,87639,,0.053298,5,100,123
Naive,9599,,0.010373,5,100,2024
Rabin-Karp,9216,,0.027046,5,100,2024
Vectorized RK,9216,,0.008567,5,100,2024
Greedy KMP,19110,,0.009248,5,100,2024
Greedy BM,27218,,0.016802,5,100,2024
Bird-KMP,142437,,0.076919,5,100,2024
Bird-BM,144363,,0.078805,5,100,2024
Naive,9597,,0.010709,5,100,999
Rabin-Karp,9216,,0.027451,5,100,999
Vectorized RK,9216,,0.007862,5,100,999
Greedy KMP,19109,,0.009021,5,100,999
Greedy BM,4848,,0.003951,5,100,999
Bird-KMP,87153,,0.051729,5,100,999
Bird-BM,89079,,0.055485,5,100,999
Naive,39002,,0.040909,5,200,42
Rabin-Karp,38416,,0.108838,5,200,42
Vectorized RK,38416,,0.034732,5,200,42
Greedy KMP,78208,,0.038275,5,200,42
Greedy BM,39002,,0.032968,5,200,42
Bird-KMP,391088,,0.250886,5,200,42
Bird-BM,391093,,0.242784,5,200,42
Naive,39002,,0.042207,5,200,7
Rabin-Karp,38416,,0.108494,5,200,7
Vectorized RK,38416,,0.033341,5,200,7
Greedy KMP,78210,,0.036695,5,200,7
Greedy BM,13849,,0.011555,5,200,7
Bird-KMP,390506,,0.24488,5,200,7
Bird-BM,397960,,0.242844,5,200,7
Naive,39199,,0.044355,5,200,123
Rabin-Karp,38416,,0.109786,5,200,123
Vectorized RK,38416,,0.032948,5,200,123
Greedy KMP,78210,,0.037141,5,200,123
Greedy BM,39002,,0.032662,5,200,123
Bird-KMP,351901,,0.21084,5,200,123
Bird-BM,359159,,0.227167,5,200,123
Naive,39199,,0.044322,5,200,2024
Rabin-Karp,38416,,0.112828,5,200,2024
Vectorized RK,38416,,0.034658,5,200,2024
Greedy KMP,78210,,0.040529,5,200,2024
Greedy BM,114368,,0.07542,5,200,2024
Bird-KMP,584737,,0.306585,5,200,2024
Bird-BM,592583,,0.306723,5,200,2024
Naive,39197,,0.041144,5,200,999
Rabin-Karp,38416,,0.11049,5,200,999
Vectorized RK,38416,,0.033358,5,200,999
Greedy KMP,78209,,0.038049,5,200,999
Greedy BM,19698,,0.017188,5,200,999
Bird-KMP,354253,,0.216177,5,200,999
Bird-BM,362099,,0.222002,5,200,999
Naive,247502,,0.279933,5,500,42
Rabin-Karp,246016,,0.696276,5,500,42
Vectorized RK,246016,,0.212092,5,500,42
Greedy KMP,495508,,0.238487,5,500,42
Greedy BM,247502,,0.224188,5,500,42
Bird-KMP,2477588,,1.473385,5,500,42
Bird-BM,2477593,,1.490429,5,500,42
Naive,247502,,0.275621,5,500,7
Rabin-Karp,246016,,0.704234,5,500,7
Vectorized RK,246016,,0.218859,5,500,7
Greedy KMP,495510,,0.244289,5,500,7
Greedy BM,84649,,0.079399,5,500,7
Bird-KMP,2476106,,1.479261,5,500,7
Bird-BM,2524720,,1.497888,5,500,7
Naive,247999,,0.274542,5,500,123
Rabin-Karp,246016,,0.690943,5,500,123
Vectorized RK,246016,,0.21423,5,500,123
Greedy KMP,495510,,0.240341,5,500,123
Greedy BM,247502,,0.221275,5,500,123
Bird-KMP,2229601,,1.352577,5,500,123
Bird-BM,2277719,,1.34516,5,500,123
Naive,247999,,0.277717,5,500,2024
Rabin-Karp,246016,,0.690554,5,500,2024
Vectorized RK,246016,,0.214376,5,500,2024
Greedy KMP,495510,,0.258705,5,500,2024
Greedy BM,735818,,0.475962,5,500,2024
Bird-KMP,3711637,,1.960375,5,500,2024
Bird-BM,3761243,,1.932988,5,500,2024
Naive,247997,,0.28584,5,500,999
Rabin-Karp,246016,,0.711293,5,500,999
Vectorized RK,246016,,0.218687,5,500,999
Greedy KMP,495509,,0.245246,5,500,999
Greedy BM,124248,,0.114112,5,500,999
Bird-KMP,2235553,,1.335312,5,500,999
Bird-BM,2285159,,1.385764,5,500,999
Naive,995002,,1.14401,5,1000,42
Rabin-Karp,992016,,2.850899,5,1000,42
Vectorized RK,992016,,0.890068,5,1000,42
Greedy KMP,1991008,,0.990027,5,1000,42
Greedy BM,995002,,0.95874,5,1000,42
Bird-KMP,9955088,,6.270272,5,1000,42
Bird-BM,9955093,,6.069446,5,1000,42
Naive,995002,,1.182559,5,1000,7
Rabin-Karp,992016,,2.913761,5,1000,7
Vectorized RK,992016,,0.920417,5,1000,7
Greedy KMP,1991010,,0.994126,5,1000,7
Greedy BM,334324,,0.317096,5,1000,7
Bird-KMP,9952106,,6.010541,5,1000,7
Bird-BM,10149320,,6.081516,5,1000,7
Naive,995999,,1.136837,5,1000,123
Rabin-Karp,992016,,2.91603,5,1000,123
Vectorized RK,992016,,0.883308,5,1000,123
Greedy KMP,1991010,,1.010263,5,1000,123
Greedy BM,995002,,0.935412,5,1000,123
Bird-KMP,8959101,,5.537182,5,1000,123
Bird-BM,9155319,,5.656917,5,1000,123
Naive,995999,,1.145242,5,1000,2024
Rabin-Karp,992016,,2.831618,5,1000,2024
Vectorized RK,992016,,0.879146,5,1000,2024
